geneID	RNAi-GLAD_1	RNAi-GLAD_2	RNAi-GLAD_3	RNAI-GFP_1	RNAI-GFP_2	RNAi-GFP_3
FBgn0051961	14.64859742	15.46257912	11.86116348	11.69607226	12.14353135	14.18655287
FBgn0086051	0	0	0.604231734	0	0	0
FBgn0029849	27.05194673	27.62989078	29.9065813	29.76004288	28.21708582	25.31753302
FBgn0002723	12.21606938	12.48075407	12.96506824	12.56335984	13.1651492	11.56486756
FBgn0051473	1.614986903	1.040231508	0.785316474	0.614786478	1.109109682	1.622466571
FBgn0041092	14.00563759	14.39084766	15.64688158	15.11562564	15.1639537	13.69202694
FBgn0003257	4.136997786	3.546839645	3.867201632	3.253634569	3.406912802	4.185334967
FBgn0029913	5.677807439	7.404255421	6.536724288	7.099948732	5.873816843	6.045698698
FBgn0040973	1.472888646	0.654075703	0.668069485	0.790310284	0.514097807	0.832055887
FBgn0085736	7.632948088	7.426840022	6.009478658	14.42208888	8.096593415	10.01216466
FBgn0002633	0.043603846	0.090362801	0.230740224	0.163776113	0.042614625	0.034485412
FBgn0033512	0	0	0	0	0	0
FBgn0031580	2.79912041	0.783889314	0.400330212	0.568297324	0.813291831	1.495789514
FBgn0037727	3.274277719	4.523651472	8.230147764	8.747821144	10.32379532	2.820771712
FBgn0031561	2090.559671	2771.292555	2556.175644	2274.807452	2677.087924	2613.847715
FBgn0014269	19.23405104	18.91281104	19.4297565	17.26361569	19.1866143	18.06535615
FBgn0082940	0	0	0	0	0	0
FBgn0085777	0.055972519	0	0	0	0	0.044267548
FBgn0037328	928.0002085	980.9404483	951.3697537	938.7098639	972.1720143	1041.697246
FBgn0039683	1.348342257	1.227203739	1.40773138	1.437187658	1.567057621	1.268123985
FBgn0259739	2.737114997	0.427363824	0.357142225	0.316868057	1.026034782	1.067537903
FBgn0263451	0	0	0	0	0	0.092610778
FBgn0028897	4.190961746	3.605167033	3.849675867	3.118551244	4.289085248	4.784206106
FBgn0035548	0	0	0	0	0	0
FBgn0086442	26.78280929	24.33301348	26.43883351	24.79499436	23.53413498	27.419783
FBgn0058002	110.1465586	109.8302842	123.4341919	121.5822314	116.4840489	104.1125122
FBgn0031282	5.338752867	4.854528787	2.82512929	3.657510243	3.221090927	4.890127947
FBgn0040260	18.78836803	20.70056514	26.85474373	25.72919361	25.87488111	20.39893722
FBgn0261267	0.915370056	0	0.322926699	0.095503648	0.099400384	0.482631942
FBgn0004430	0.087030441	0.090179137	0.276325488	0.163443234	0	0.137661279
Novel00191	0.38288206	0.396734443	0.438991014	0.299605333	0.343012799	0.378517227
FBgn0027296	16.34942126	16.59478209	18.98796144	18.21218183	17.57251893	17.73271855
FBgn0032051	6.706382215	6.702719869	6.414871006	5.834962354	5.442506012	6.968979427
FBgn0033203	1.12375596	0.803043171	0.656179259	0.654956237	0.757421927	1.62427851
FBgn0085239	0.686476586	0.088914099	0	0	0.335451395	0.678650793
FBgn0039244	4.353402876	3.552065833	3.16064242	3.653389784	4.090208611	4.208134908
FBgn0035359	22.69656923	15.87364368	21.96098842	19.16024427	15.86157572	16.80819993
FBgn0033451	21.9510439	25.10203939	24.72204459	19.08647646	24.20525056	24.69894058
FBgn0035262	4.23465849	4.073197597	2.55334332	2.819878783	2.836004954	3.856143009
FBgn0015872	28.91019211	32.80182133	38.66041318	35.57629433	40.2025194	31.29563031
FBgn0033862	1.139668591	0	0.021538679	0.019109808	0.397790508	0.579433596
FBgn0263089	0	0	0	0.119308711	0.12417674	0
FBgn0040346	18.93644531	16.48796047	17.64835262	18.8959798	16.71140243	16.07174986
FBgn0084049	0.860682956	0.33443318	0.227725528	0.505113514	0.525723134	0.510522733
FBgn0016919	1.123387612	0.961590763	1.275089781	1.192452009	0.843315878	0.836959638
FBgn0261522	1.253708788	0.049964116	0.204132343	0.27166916	0.329879426	0.572038422
FBgn0030869	20.86641428	20.81614922	24.37362903	23.54047727	22.36932962	22.25752071
FBgn0026679	7.88705156	7.966155593	7.846937393	7.592845203	6.966488298	8.313669387
FBgn0037347	26.35435441	26.5981719	25.02168841	26.85613899	26.15807265	22.6414491
FBgn0030530	11.93235256	10.82066906	10.35924819	9.759735342	8.89420649	11.13288232
FBgn0086359	68.07272731	63.98130415	48.60766734	83.58033331	67.12437673	48.05927849
FBgn0011335	7.895898615	7.858995527	8.985600802	8.875842641	9.403946398	8.527720436
FBgn0050339	1.925388999	1.691453834	2.082030168	2.043759389	1.881708531	1.688268235
FBgn0052181	2.332844094	1.520524844	0.796439017	1.024608115	1.360597341	1.651572443
FBgn0029924	1.318388853	1.504675714	1.637977592	1.740331308	1.979402729	1.450695565
FBgn0031298	33.63611212	38.10314068	31.25261245	28.50339734	31.66297422	34.69701117
FBgn0032856	3.635090521	3.465984256	3.522076169	5.272265738	4.169745065	3.401314467
FBgn0034602	8.458718172	7.703179301	9.119080156	8.411410531	8.703265852	8.642763577
FBgn0261857	1.007505343	0.956959779	0.44428804	0.473023949	0.574378295	0.73041455
FBgn0034710	0.025247038	0.026160457	0.053440307	0.047413957	0.049348539	0
FBgn0010359	0	0	0	0	0	0
FBgn0034082	1.566187567	0.061239662	0.062549869	0.166488761	0.43320457	1.33215076
FBgn0004172	0.119272917	0	0	0	0	0
FBgn0023495	0.238878533	0.43316171	0.600439485	0.448614066	0.904654397	0.543157263
FBgn0042092	5.030536623	5.089406812	4.024485184	4.90964728	4.29702065	5.544909716
FBgn0030877	4.657896589	4.71011658	4.890079891	4.373766659	4.058610156	5.192879328
FBgn0032707	2.689510625	1.971161885	2.759656617	2.7872361	2.291919299	2.879340391
FBgn0035978	107.5338052	154.0730432	220.7733566	166.7920371	220.3847302	153.0170419
FBgn0031776	24.39602224	21.77394198	17.13682439	18.24520947	18.00500124	24.87203831
FBgn0260762	0	0	0	0	0	0
FBgn0262095	1.092320844	0.113184018	0.115605561	0.205137937	0.693900892	0.302363166
FBgn0083037	0	0	0	0	0	0
FBgn0032671	8.040858467	5.56422444	5.504737563	6.124774968	5.577843059	6.092528456
FBgn0028980	9.210427176	9.459196336	9.02897039	8.393473818	9.054580242	9.433116844
FBgn0263767	1.749813967	0	0	0	0.402380399	2.523569501
FBgn0034844	0.781807166	0	0.031824003	0.070588195	0.293873325	0.558862256
FBgn0034542	24.53992336	24.15811046	28.52987548	24.16204849	25.26273801	25.97928976
FBgn0027589	11.79919232	10.54121226	12.84065978	11.96032074	11.70468552	11.6811694
FBgn0050344	23.37384384	23.35597849	17.09376615	18.66888311	17.20055006	18.54867719
FBgn0260960	57.70097997	56.10555498	57.97390201	65.59766953	59.45989824	58.78371559
FBgn0263239	1.838152427	2.067067863	1.658872481	1.699265734	1.963562784	1.780571909
FBgn0039066	13.79926349	13.61762893	13.26204555	12.79967017	13.18750777	14.01963688
FBgn0033848	0	0	0	0	0	0
FBgn0053437	0	0	0	0	0	0
FBgn0036668	11.54871934	11.37269032	11.26702738	11.19810913	11.06420675	10.19541542
FBgn0082919	0	0	0	0	0	0
FBgn0037879	6.399319651	0.877611465	1.095585012	1.016221781	2.943125202	5.805372787
FBgn0260991	0.460419108	0.27261527	0.191432865	0.231607348	0.353550827	0.403150888
FBgn0032669	9.616328931	0.842746702	1.822821991	1.437569991	1.683253869	2.232419889
FBgn0051294	0.628269415	0	0.051148284	0	0.330624075	0.267553862
FBgn0036782	0	0	0	0	0	0.016739829
FBgn0031791	7.99420809	8.231661022	9.518236182	10.97835046	8.984773991	6.559551905
